Time,Working State,Alarm Code,PV(W),MPPT1(W),MPPT2(W),MPPT1(V),MPPT2(V),Battery(W),Grid(W),Grid Load(W),Backup Load(W),SOC(%),SOH(%),Temp(C),GEN(W),Smart(W),AC Coupled(W),Today Yield(kWh),Today Energy to Battery(kWh),Today Energy from Battery(kWh),Today Energy from Grid(kWh),Today Grid Load(kWh),Today Backup Load(kWh),Total Grid Load(kWh),Total Backup Load(kWh)
2026-09-23 02:17:00,Normal,,0,0,0,22.1,22.0,-351,0,0,351,55,99,38.3,0,0,0,0.0,0.0,1.2,0.0,0,1.2,210,3401
2026-09-23 02:22:00,Normal,,0,0,0,22.1,22.0,-1515,0,0,1515,54,99,38.6,0,0,0,0.0,0.0,1.3,0.0,0,1.3,210,3401
2026-09-23 02:27:00,Normal,,0,0,0,22.1,22.0,-431,0,0,431,54,99,38.0,0,0,0,0.0,0.0,1.3,0.0,0,1.3,210,3401
2026-09-23 02:32:00,Normal,,0,0,0,22.1,22.0,-389,0,0,389,53,99,37.7,0,0,0,0.0,0.0,1.4,0.0,0,1.4,210,3401
2026-09-23 02:37:00,Normal,,0,0,0,22.1,22.0,-322,0,0,322,53,99,38.7,0,0,0,0.0,0.0,1.4,0.0,0,1.4,210,3401
2026-09-23 02:42:00,Normal,,0,0,0,22.1,22.0,-315,0,0,315,53,99,38.6,0,0,0,0.0,0.0,1.4,0.0,0,1.4,210,3401
2026-09-23 02:47:00,Normal,,0,0,0,22.1,22.0,-364,0,0,364,53,99,37.2,0,0,0,0.0,0.0,1.5,0.0,0,1.5,210,3401
2026-09-23 02:52:00,Normal,,0,0,0,22.1,22.0,-403,0,0,403,53,99,39.0,0,0,0,0.0,0.0,1.5,0.0,0,1.5,210,3401
2026-09-23 02:57:00,Normal,,0,0,0,22.1,22.0,-1566,0,0,1566,52,99,38.0,0,0,0,0.0,0.0,1.6,0.0,0,1.6,210,3402
2026-09-23 03:02:00,Normal,,0,0,0,22.1,22.0,-412,0,0,412,52,99,37.8,0,0,0,0.0,0.0,1.7,0.0,0,1.7,210,3402
2026-09-23 03:07:00,Normal,,0,0,0,22.1,22.0,-1564,0,0,1564,51,99,38.4,0,0,0,0.0,0.0,1.8,0.0,0,1.8,210,3402
2026-09-23 03:12:00,Normal,,0,0,0,22.1,22.0,-379,0,0,379,51,99,37.7,0,0,0,0.0,0.0,1.8,0.0,0,1.8,210,3402
2026-09-23 03:17:00,Normal,,0,0,0,22.1,22.0,-325,0,0,325,50,99,38.2,0,0,0,0.0,0.0,1.9,0.0,0,1.9,210,3402
2026-09-23 03:22:00,Normal,,0,0,0,22.1,22.0,-419,0,0,419,50,99,38.6,0,0,0,0.0,0.0,1.9,0.0,0,1.9,210,3402
2026-09-23 03:27:00,Normal,,0,0,0,22.1,22.0,-418,0,0,418,50,99,37.7,0,0,0,0.0,0.0,1.9,0.0,0,1.9,210,3402
2026-09-23 03:32:00,Normal,,0,0,0,22.1,22.0,-413,0,0,413,50,99,38.3,0,0,0,0.0,0.0,2.0,0.0,0,2.0,210,3402
2026-09-23 03:37:00,Normal,,0,0,0,22.1,22.0,-387,0,0,387,50,99,37.6,0,0,0,0.0,0.0,2.0,0.0,0,2.0,210,3402
2026-09-23 03:42:00,Normal,,0,0,0,22.1,22.0,-429,0,0,429,49,99,37.6,0,0,0,0.0,0.0,2.0,0.0,0,2.0,210,3402
2026-09-23 03:47:00,Normal,,0,0,0,22.1,22.0,-411,0,0,411,49,99,37.4,0,0,0,0.0,0.0,2.1,0.0,0,2.1,210,3402
2026-09-23 03:52:00,Normal,,0,0,0,22.1,22.0,-1563,0,0,1563,48,99,38.2,0,0,0,0.0,0.0,2.2,0.0,0,2.2,210,3402
2026-09-23 03:57:00,Normal,,0,0,0,22.1,22.0,-379,0,0,379,48,99,38.5,0,0,0,0.0,0.0,2.2,0.0,0,2.2,210,3402
2026-09-23 04:02:00,Normal,,0,0,0,22.1,22.0,-430,0,0,430,48,99,38.9,0,0,0,0.0,0.0,2.3,0.0,0,2.3,210,3402
2026-09-23 04:07:00,Normal,,0,0,0,22.1,22.0,-409,0,0,409,48,99,37.7,0,0,0,0.0,0.0,2.3,0.0,0,2.3,210,3402
2026-09-23 04:12:00,Normal,,0,0,0,22.1,22.0,-378,0,0,378,47,99,37.6,0,0,0,0.0,0.0,2.3,0.0,0,2.3,210,3402
2026-09-23 04:17:00,Normal,,0,0,0,22.1,22.0,-431,0,0,431,47,99,38.8,0,0,0,0.0,0.0,2.4,0.0,0,2.4,210,3402
2026-09-23 04:22:00,Normal,,0,0,0,22.1,22.0,-390,0,0,390,47,99,37.6,0,0,0,0.0,0.0,2.4,0.0,0,2.4,210,3402
2026-09-23 04:27:00,Normal,,0,0,0,22.1,22.0,-438,0,0,438,47,99,38.3,0,0,0,0.0,0.0,2.4,0.0,0,2.4,210,3402
2026-09-23 04:32:00,Normal,,0,0,0,22.1,22.0,-361,0,0,361,47,99,37.9,0,0,0,0.0,0.0,2.5,0.0,0,2.5,210,3402
2026-09-23 04:37:00,Normal,,0,0,0,22.1,22.0,-1556,0,0,1556,46,99,37.7,0,0,0,0.0,0.0,2.6,0.0,0,2.6,210,3403
2026-09-23 04:42:00,Normal,,0,0,0,22.1,22.0,-424,0,0,424,46,99,38.4,0,0,0,0.0,0.0,2.6,0.0,0,2.6,210,3403
2026-09-23 04:47:00,Normal,,0,0,0,22.1,22.0,-388,0,0,388,45,99,37.7,0,0,0,0.0,0.0,2.7,0.0,0,2.7,210,3403
2026-09-23 04:52:00,Normal,,0,0,0,22.1,22.0,-414,0,0,414,45,99,37.7,0,0,0,0.0,0.0,2.7,0.0,0,2.7,210,3403
2026-09-23 04:57:00,Normal,,0,0,0,22.1,22.0,-338,0,0,338,45,99,37.7,0,0,0,0.0,0.0,2.7,0.0,0,2.7,210,3403
2026-09-23 05:02:00,Normal,,0,0,0,22.1,22.0,-370,0,0,370,45,99,38.7,0,0,0,0.0,0.0,2.7,0.0,0,2.7,210,3403
2026-09-23 05:07:00,Normal,,0,0,0,22.1,22.0,-344,0,0,344,45,99,38.6,0,0,0,0.0,0.0,2.8,0.0,0,2.8,210,3403
2026-09-23 05:12:00,Normal,,0,0,0,22.1,22.0,-317,0,0,317,44,99,37.5,0,0,0,0.0,0.0,2.8,0.0,0,2.8,210,3403
2026-09-23 05:17:00,Normal,,0,0,0,22.1,22.0,-345,0,0,345,44,99,38.4,0,0,0,0.0,0.0,2.8,0.0,0,2.8,210,3403
2026-09-23 05:22:00,Normal,,0,0,0,22.1,22.0,-300,0,0,300,44,99,37.2,0,0,0,0.0,0.0,2.9,0.0,0,2.9,210,3403
2026-09-23 05:27:00,Normal,,0,0,0,22.1,22.0,-326,0,0,326,44,99,38.9,0,0,0,0.0,0.0,2.9,0.0,0,2.9,210,3403
2026-09-23 05:32:00,Normal,,0,0,0,22.1,22.0,-444,0,0,444,44,99,37.2,0,0,0,0.0,0.0,2.9,0.0,0,2.9,210,3403
2026-09-23 05:37:00,Normal,,0,0,0,22.1,22.0,-392,0,0,392,44,99,38.2,0,0,0,0.0,0.0,3.0,0.0,0,3.0,210,3403
2026-09-23 05:42:00,Normal,,0,0,0,22.1,22.0,-1543,0,0,1543,43,99,37.8,0,0,0,0.0,0.0,3.1,0.0,0,3.1,210,3403
2026-09-23 05:47:00,Normal,,0,0,0,22.1,22.0,-317,0,0,317,43,99,38.8,0,0,0,0.0,0.0,3.1,0.0,0,3.1,210,3403
2026-09-23 05:52:00,Normal,,0,0,0,22.1,22.0,-1619,0,0,1619,42,99,38.2,0,0,0,0.0,0.0,3.2,0.0,0,3.2,210,3403
2026-09-23 05:57:00,Normal,,0,0,0,22.1,22.0,-410,0,0,410,42,99,37.3,0,0,0,0.0,0.0,3.3,0.0,0,3.3,210,3403
2026-09-23 06:02:00,Normal,,0,0,0,22.1,22.0,-446,0,0,446,41,99,37.0,0,0,0,0.0,0.0,3.3,0.0,0,3.3,210,3403
2026-09-23 06:07:00,Normal,,0,0,0,22.1,22.0,-416,0,0,416,41,99,38.8,0,0,0,0.0,0.0,3.3,0.0,0,3.3,210,3403
2026-09-23 06:12:00,Normal,,0,0,0,22.1,22.0,-384,0,0,384,41,99,37.9,0,0,0,0.0,0.0,3.4,0.0,0,3.4,210,3403
2026-09-23 06:17:00,Normal,,28,15,13,30.0,29.8,-334,0,0,362,41,99,38.6,0,0,0,0.0,0.0,3.4,0.0,0,3.4,210,3403
2026-09-23 06:22:00,Normal,,74,41,33,38.0,37.6,-251,0,0,325,41,99,37.7,0,0,0,0.0,0.0,3.4,0.0,0,3.4,210,3403
2026-09-23 06:27:00,Normal,,119,65,54,46.1,45.4,-267,0,0,386,40,99,38.8,0,0,0,0.0,0.0,3.5,0.0,0,3.5,210,3403
2026-09-23 06:32:00,Normal,,184,101,83,54.1,53.2,-234,0,0,418,40,99,39.7,0,0,0,0.0,0.0,3.5,0.0,0,3.5,210,3404
2026-09-23 06:37:00,Normal,,257,141,116,62.0,61.0,-107,0,0,364,40,99,40.0,0,0,0,0.1,0.0,3.5,0.0,0,3.5,210,3404
2026-09-23 06:42:00,Normal,,318,175,143,70.0,68.7,-5,0,0,323,40,99,40.3,0,0,0,0.1,0.0,3.5,0.0,0,3.6,210,3404
2026-09-23 06:47:00,Normal,,405,223,182,78.0,76.5,-1100,0,0,1505,40,99,40.0,0,0,0,0.1,0.0,3.6,0.0,0,3.7,210,3404
2026-09-23 06:52:00,Normal,,440,242,198,85.9,84.2,-1119,0,0,1559,39,99,41.3,0,0,0,0.2,0.0,3.7,0.0,0,3.8,210,3404
2026-09-23 06:57:00,Normal,,544,299,245,93.8,91.9,143,0,0,401,39,99,40.1,0,0,0,0.2,0.0,3.7,0.0,0,3.9,210,3404
2026-09-23 07:02:00,Normal,,627,345,282,101.6,99.5,313,0,0,314,39,99,40.2,0,0,0,0.2,0.0,3.7,0.0,0,3.9,210,3404
2026-09-23 07:07:00,Normal,,739,406,333,109.5,107.2,336,0,0,403,40,99,40.9,0,0,0,0.3,0.1,3.7,0.0,0,3.9,210,3404
2026-09-23 07:12:00,Normal,,865,476,389,117.2,114.7,544,0,0,321,40,99,41.6,0,0,0,0.4,0.1,3.7,0.0,0,3.9,210,3404
2026-09-23 07:17:00,Normal,,949,522,427,125.0,122.3,590,0,0,359,40,99,41.7,0,0,0,0.5,0.2,3.7,0.0,0,4.0,210,3404
2026-09-23 07:22:00,Normal,,969,533,436,132.7,129.8,555,0,0,414,40,99,42.0,0,0,0,0.5,0.2,3.7,0.0,0,4.0,210,3404
2026-09-23 07:27:00,Normal,,1194,657,537,140.3,137.2,805,0,0,389,41,99,41.9,0,0,0,0.6,0.3,3.7,0.0,0,4.0,210,3404
2026-09-23 07:32:00,Normal,,1317,724,593,147.9,144.6,937,0,0,380,41,99,42.3,0,0,0,0.8,0.4,3.7,0.0,0,4.1,210,3404
2026-09-23 07:37:00,Normal,,1419,780,639,155.5,152.0,1011,0,0,408,42,99,43.8,0,0,0,0.9,0.4,3.7,0.0,0,4.1,210,3404
2026-09-23 07:42:00,Normal,,1528,840,688,163.0,159.3,1205,0,0,323,42,99,44.0,0,0,0,1.0,0.5,3.7,0.0,0,4.1,210,3404
2026-09-23 07:47:00,Normal,,1649,907,742,170.4,166.5,1242,0,0,407,43,99,42.7,0,0,0,1.1,0.6,3.7,0.0,0,4.2,210,3404
2026-09-23 07:52:00,Normal,,1770,974,796,177.7,173.6,147,0,0,1623,43,99,43.4,0,0,0,1.3,0.7,3.7,0.0,0,4.3,210,3404
2026-09-23 07:57:00,Normal,,1696,933,763,185.0,180.7,1250,0,0,446,44,99,44.7,0,0,0,1.4,0.8,3.7,0.0,0,4.3,210,3404
2026-09-23 08:02:00,Normal,,1992,1096,896,192.2,187.7,1648,0,0,344,45,99,45.0,0,0,0,1.6,0.9,3.7,0.0,0,4.4,210,3404
2026-09-23 08:07:00,Normal,,2023,1113,910,199.4,194.7,382,0,0,1641,45,99,45.5,0,0,0,1.8,0.9,3.7,0.0,0,4.5,210,3404
2026-09-23 08:12:00,Normal,,1984,1091,893,206.4,201.6,1590,0,0,394,46,99,44.3,0,0,0,1.9,1.1,3.7,0.0,0,4.5,210,3405
2026-09-23 08:17:00,Normal,,2366,1301,1065,213.4,208.4,1940,0,0,426,47,99,45.1,0,0,0,2.1,1.2,3.7,0.0,0,4.6,210,3405
2026-09-23 08:22:00,Normal,,2350,1292,1058,220.3,215.1,2044,0,0,306,48,99,45.5,0,0,0,2.3,1.4,3.7,0.0,0,4.6,210,3405
2026-09-23 08:27:00,Normal,,2415,1328,1087,227.1,221.7,2012,0,0,403,49,99,44.7,0,0,0,2.5,1.6,3.7,0.0,0,4.6,210,3405
2026-09-23 08:32:00,Normal,,2592,1426,1166,233.8,228.2,2161,0,0,431,50,99,46.7,0,0,0,2.7,1.7,3.7,0.0,0,4.7,210,3405
2026-09-23 08:37:00,Normal,,2665,1466,1199,240.4,234.6,2286,0,0,379,51,99,46.1,0,0,0,3.0,1.9,3.7,0.0,0,4.7,210,3405
2026-09-23 08:42:00,Normal,,2869,1578,1291,246.9,241.0,2474,0,0,395,52,99,46.9,0,0,0,3.2,2.1,3.7,0.0,0,4.7,210,3405
2026-09-23 08:47:00,Normal,,2832,1558,1274,253.3,247.2,1192,0,0,1640,53,99,46.7,0,0,0,3.4,2.2,3.7,0.0,0,4.9,210,3405
2026-09-23 08:52:00,Normal,,2959,1627,1332,259.6,253.4,2529,0,0,430,54,99,46.0,0,0,0,3.7,2.4,3.7,0.0,0,4.9,210,3405
2026-09-23 08:57:00,Normal,,3289,1809,1480,265.8,259.4,2860,0,0,429,56,99,46.5,0,0,0,4.0,2.7,3.7,0.0,0,4.9,210,3405
2026-09-23 09:02:00,Normal,,3057,1681,1376,271.9,265.4,2723,0,0,334,57,99,48.2,0,0,0,4.2,2.9,3.7,0.0,0,5.0,210,3405
2026-09-23 09:07:00,Normal,,3276,1802,1474,277.9,271.2,2873,0,0,403,59,99,47.9,0,0,0,4.5,3.1,3.7,0.0,0,5.0,210,3405
2026-09-23 09:12:00,Normal,,3419,1880,1539,283.8,276.9,3066,0,0,353,60,99,48.3,0,0,0,4.8,3.4,3.7,0.0,0,5.0,210,3405
2026-09-23 09:17:00,Normal,,3591,1975,1616,289.6,282.5,3169,0,0,422,62,99,47.5,0,0,0,5.1,3.7,3.7,0.0,0,5.1,210,3405
2026-09-23 09:22:00,Normal,,3501,1926,1575,295.2,288.0,3136,0,0,365,64,99,47.9,0,0,0,5.4,3.9,3.7,0.0,0,5.1,210,3405
2026-09-23 09:27:00,Normal,,3675,2021,1654,300.7,293.4,3362,0,0,313,65,99,48.0,0,0,0,5.7,4.2,3.7,0.0,0,5.1,210,3405
2026-09-23 09:32:00,Normal,,3641,2003,1638,306.1,298.6,3259,0,0,382,67,99,49.0,0,0,0,6.0,4.5,3.7,0.0,0,5.1,210,3405
2026-09-23 09:37:00,Normal,,4207,2314,1893,311.4,303.8,3868,0,0,339,69,99,49.1,0,0,0,6.3,4.8,3.7,0.0,0,5.2,210,3405
2026-09-23 09:42:00,Normal,,4165,2291,1874,316.5,308.8,3744,0,0,421,71,99,48.5,0,0,0,6.7,5.1,3.7,0.0,0,5.2,210,3405
2026-09-23 09:47:00,Normal,,3836,2110,1726,321.5,313.6,3507,0,0,329,73,99,48.2,0,0,0,7.0,5.4,3.7,0.0,0,5.2,210,3405
2026-09-23 09:52:00,Normal,,3983,2191,1792,326.4,318.4,3575,0,0,408,75,99,48.8,0,0,0,7.3,5.7,3.7,0.0,0,5.3,210,3405
2026-09-23 09:57:00,Normal,,4230,2326,1904,331.1,323.0,2604,0,0,1626,76,99,48.9,0,0,0,7.7,5.9,3.7,0.0,0,5.4,210,3405
2026-09-23 10:02:00,Normal,,4713,2592,2121,335.7,327.5,4280,0,0,433,78,99,48.7,0,0,0,8.1,6.3,3.7,0.0,0,5.4,210,3405
2026-09-23 10:07:00,Normal,,4143,2279,1864,340.2,331.8,3718,0,0,425,80,99,49.4,0,0,0,8.4,6.6,3.7,0.0,0,5.5,210,3405
2026-09-23 10:12:00,Normal,,4786,2632,2154,344.5,336.0,4372,0,0,414,83,99,49.9,0,0,0,8.8,7.0,3.7,0.0,0,5.5,210,3406
2026-09-23 10:17:00,Normal,,4825,2654,2171,348.7,340.1,3262,0,0,1563,84,99,50.4,0,0,0,9.2,7.2,3.7,0.0,0,5.6,210,3406
2026-09-23 10:22:00,Normal,,4429,2436,1993,352.7,344.0,4121,0,0,308,86,99,49.7,0,0,0,9.6,7.6,3.7,0.0,0,5.7,210,3406
2026-09-23 10:27:00,Normal,,4663,2565,2098,356.6,347.8,4276,0,0,387,89,99,49.8,0,0,0,10.0,7.9,3.7,0.0,0,5.7,210,3406
2026-09-23 10:32:00,Normal,,4964,2730,2234,360.3,351.4,4623,0,0,341,91,99,51.3,0,0,0,10.4,8.3,3.7,0.0,0,5.7,210,3406
2026-09-23 10:37:00,Normal,,4999,2749,2250,363.9,354.9,4658,0,0,341,93,99,50.5,0,0,0,10.8,8.7,3.7,0.0,0,5.8,210,3406
2026-09-23 10:42:00,Normal,,5030,2766,2264,367.3,358.2,4622,0,0,408,96,99,51.3,0,0,0,11.2,9.1,3.7,0.0,0,5.8,210,3406
2026-09-23 10:47:00,Normal,,4776,2627,2149,370.6,361.4,4355,0,0,421,98,99,50.2,0,0,0,11.6,9.4,3.7,0.0,0,5.8,210,3406
2026-09-23 10:52:00,Normal,,5532,3043,2489,373.7,364.4,5000,139,0,393,100,99,51.1,0,0,0,12.1,9.9,3.7,0.0,0,5.9,210,3406
2026-09-23 10:57:00,Normal,,4791,2635,2156,376.6,367.3,3207,0,0,1584,100,99,51.8,0,0,0,12.5,10.1,3.7,0.0,0,6.0,210,3406
2026-09-23 11:02:00,Normal,,5674,3121,2553,379.4,370.0,5000,368,0,306,100,99,50.4,0,0,0,12.9,10.5,3.7,0.0,0,6.0,210,3406
2026-09-23 11:07:00,Normal,,4906,2698,2208,382.1,372.6,3398,0,0,1508,100,99,52.2,0,0,0,13.4,10.8,3.7,0.0,0,6.1,210,3406
2026-09-23 11:12:00,Normal,,5321,2927,2394,384.6,375.0,5000,13,0,308,100,99,51.5,0,0,0,13.8,11.2,3.7,0.0,0,6.2,210,3406
2026-09-23 11:17:00,Normal,,5412,2977,2435,386.9,377.3,3766,0,0,1646,100,99,51.3,0,0,0,14.2,11.6,3.7,0.0,0,6.3,210,3406
2026-09-23 11:22:00,Normal,,5197,2858,2339,389.1,379.4,4850,0,0,347,100,99,51.5,0,0,0,14.7,12.0,3.7,0.0,0,6.3,210,3406
2026-09-23 11:27:00,Normal,,5678,3123,2555,391.0,381.3,4074,0,0,1604,100,99,51.4,0,0,0,15.2,12.3,3.7,0.0,0,6.5,210,3406
2026-09-23 11:32:00,Normal,,5732,3153,2579,392.9,383.1,5000,304,0,428,100,99,51.3,0,0,0,15.6,12.7,3.7,0.0,0,6.5,210,3407
2026-09-23 11:37:00,Normal,,5341,2938,2403,394.5,384.7,3828,0,0,1513,100,99,50.8,0,0,0,16.1,13.0,3.7,0.0,0,6.6,210,3407
2026-09-23 11:42:00,Normal,,5620,3091,2529,396.0,386.2,3978,0,0,1642,100,99,51.4,0,0,0,16.5,13.4,3.7,0.0,0,6.8,210,3407
2026-09-23 11:47:00,Normal,,5756,3166,2590,397.4,387.5,4255,0,0,1501,100,99,51.2,0,0,0,17.0,13.7,3.7,0.0,0,6.9,210,3407
2026-09-23 11:52:00,Normal,,5384,2961,2423,398.5,388.6,3818,0,0,1566,100,99,51.7,0,0,0,17.5,14.0,3.7,0.0,0,7.0,210,3407
2026-09-23 11:57:00,Normal,,5313,2922,2391,399.5,389.6,4877,0,0,436,100,99,52.1,0,0,0,17.9,14.5,3.7,0.0,0,7.1,210,3407
2026-09-23 12:02:00,Normal,,6083,3346,2737,400.4,390.4,5000,771,0,312,100,99,51.8,0,0,0,18.4,14.9,3.7,0.0,0,7.1,210,3407
2026-09-23 12:07:00,Normal,,5290,2910,2380,401.0,391.0,4884,0,0,406,100,99,52.5,0,0,0,18.9,15.3,3.7,0.0,0,7.1,210,3407
2026-09-23 12:12:00,Normal,,6061,3334,2727,401.5,391.5,4494,0,0,1567,100,99,51.7,0,0,0,19.4,15.6,3.7,0.0,0,7.3,210,3407
2026-09-23 12:17:00,Normal,,5730,3152,2578,401.8,391.8,5000,322,0,408,100,99,52.2,0,0,0,19.8,16.1,3.7,0.0,0,7.3,210,3407
