Time,Today Yield(kWh),Energy to Grid(kWh),Energy from Grid(kWh),Energy to Battery(kWh),Energy from Battery(kWh),Load Consumption(kWh),Generation(kWh),GEN(kWh),Smart Load(kWh),AC Coupled(kWh)
2020-11-15,15.7,8.62,7.83,,,14.91,15.7,,,
2020-11-16,17.7,7.68,7.38,,,17.4,17.7,,,
2020-11-17,16.08,8.92,10.2,,,17.37,16.08,,,
2020-11-18,16.84,9.14,7.37,,,15.06,16.84,,,
2020-11-19,19.01,9.84,7.71,,,16.88,19.01,,,
2020-11-20,18.29,10.23,10.69,,,18.75,18.29,,,
2020-11-21,19.76,11.2,4.8,,,13.37,19.76,,,
2020-11-22,16.84,8.01,8.28,,,17.12,16.84,,,
2020-11-23,16.34,8.5,10.27,,,18.11,16.34,,,
2020-11-24,18.9,10.41,7.81,,,16.29,18.9,,,
2020-11-25,16.83,7.34,10.38,,,19.87,16.83,,,
2020-11-26,20.13,9.78,4.44,,,14.8,20.13,,,
2020-11-27,16.32,6.71,9.9,,,19.51,16.32,,,
2020-11-28,16.02,9.43,11.55,,,18.15,16.02,,,
2020-11-29,20.87,8.81,8.21,,,20.28,20.87,,,
2020-11-30,19.58,9.47,8.28,,,18.39,19.58,,,
2020-12-01,14.61,8.04,10.6,,,17.17,14.61,,,
2020-12-02,18.16,10.49,5.45,,,13.12,18.16,,,
2020-12-03,14.58,7.29,7.3,,,14.59,14.58,,,
2020-12-04,22.0,10.26,5.03,,,16.77,22.0,,,
2020-12-05,22.0,10.64,4.87,,,16.23,22.0,,,
2020-12-06,21.99,14.97,3.01,,,10.03,21.99,,,
2020-12-07,18.84,9.43,8.19,,,17.6,18.84,,,
2020-12-08,17.26,8.78,3.63,,,12.11,17.26,,,
2020-12-09,18.87,9.56,7.59,,,16.89,18.87,,,
2020-12-10,13.21,7.21,12.04,,,18.05,13.21,,,
2020-12-11,20.01,10.1,8.66,,,18.57,20.01,,,
2020-12-12,17.75,10.33,7.98,,,15.4,17.75,,,
2020-12-13,22.0,11.77,4.38,,,14.61,22.0,,,
2020-12-14,13.06,5.28,9.8,,,17.57,13.06,,,
2020-12-15,21.24,12.01,8.5,,,17.73,21.24,,,
2020-12-16,18.19,10.15,7.59,,,15.63,18.19,,,
2020-12-17,21.67,11.28,7.52,,,17.91,21.67,,,
2020-12-18,10.65,6.04,7.69,,,12.31,10.65,,,
2020-12-19,19.44,8.67,6.82,,,17.59,19.44,,,
2020-12-20,13.56,6.81,7.61,,,14.35,13.56,,,
2020-12-21,22.0,12.64,7.74,,,17.1,22.0,,,
2020-12-22,17.51,9.87,7.39,,,15.03,17.51,,,
2020-12-23,20.69,11.08,8.56,,,18.17,20.69,,,
2020-12-24,19.61,9.03,6.47,,,17.05,19.61,,,
2020-12-25,17.24,7.6,8.71,,,18.35,17.24,,,
2020-12-26,21.19,12.7,6.31,,,14.81,21.19,,,
2020-12-27,22.0,10.0,5.14,,,17.14,22.0,,,
2020-12-28,22.0,11.31,6.41,,,17.1,22.0,,,
2020-12-29,17.04,7.7,5.14,,,14.48,17.04,,,
2020-12-30,22.0,10.37,4.99,,,16.62,22.0,,,
2020-12-31,22.0,12.03,4.27,,,14.24,22.0,,,
2021-01-01,19.91,9.31,4.54,,,15.14,19.91,,,
2021-01-02,19.2,9.39,9.97,,,19.78,19.2,,,
2021-01-03,22.55,12.62,4.26,,,14.18,22.55,,,
2021-01-04,22.52,13.99,3.65,,,12.18,22.52,,,
2021-01-05,20.04,11.78,7.52,,,15.79,20.04,,,
2021-01-06,22.55,12.19,4.44,,,14.8,22.55,,,
2021-01-07,22.41,13.16,5.94,,,15.19,22.41,,,
2021-01-08,16.86,7.61,9.04,,,18.29,16.86,,,
2021-01-09,18.14,10.63,7.5,,,15.01,18.14,,,
2021-01-10,16.62,7.49,9.49,,,18.62,16.62,,,
2021-01-11,14.07,5.78,4.66,,,12.96,14.07,,,
2021-01-12,15.32,6.66,6.43,,,15.08,15.32,,,
2021-01-13,18.43,10.14,11.04,,,19.33,18.43,,,
2021-01-14,18.69,8.87,7.87,,,17.68,18.69,,,
2021-01-15,15.95,8.15,10.38,,,18.18,15.95,,,
2021-01-16,22.55,12.06,5.42,,,15.91,22.55,,,
2021-01-17,22.07,12.07,8.16,,,18.16,22.07,,,
2021-01-18,22.55,11.18,4.87,,,16.24,22.55,,,
2021-01-19,19.09,9.56,4.08,,,13.61,19.09,,,
2021-01-20,13.29,7.61,12.06,,,17.74,13.29,,,
2021-01-21,16.29,7.26,6.51,,,15.54,16.29,,,
2021-01-22,9.51,4.37,9.97,,,15.11,9.51,,,
2021-01-23,17.19,9.57,6.39,,,14.01,17.19,,,
2021-01-24,17.03,7.83,8.76,,,17.96,17.03,,,
2021-01-25,16.31,8.02,4.82,,,13.11,16.31,,,
2021-01-26,18.59,10.88,9.89,,,17.6,18.59,,,
2021-01-27,22.55,13.45,3.9,,,13.0,22.55,,,
2021-01-28,18.87,9.87,9.7,,,18.71,18.87,,,
2021-01-29,20.38,11.25,3.91,,,13.04,20.38,,,
2021-01-30,16.39,7.23,6.33,,,15.5,16.39,,,
2021-01-31,22.55,13.23,7.88,,,17.21,22.55,,,
2021-02-01,17.56,10.37,7.86,,,15.05,17.56,,,
2021-02-02,15.88,8.18,11.9,,,19.59,15.88,,,
2021-02-03,23.43,11.32,5.64,,,17.75,23.43,,,
2021-02-04,18.85,9.79,10.48,,,19.54,18.85,,,
2021-02-05,14.51,6.02,9.23,,,17.72,14.51,,,
2021-02-06,19.1,9.57,8.93,,,18.46,19.1,,,
2021-02-07,20.18,10.91,11.17,,,20.43,20.18,,,
2021-02-08,24.2,9.99,9.37,,,23.58,24.2,,,
2021-02-09,23.45,13.47,5.31,,,15.29,23.45,,,
2021-02-10,21.27,12.09,8.35,,,17.52,21.27,,,
2021-02-11,16.16,7.1,5.93,,,14.99,16.16,,,
2021-02-12,24.2,12.02,6.94,,,19.12,24.2,,,
2021-02-13,20.78,8.47,8.96,,,21.27,20.78,,,
2021-02-14,24.2,11.9,8.0,,,20.3,24.2,,,
2021-02-15,18.32,9.48,11.57,,,20.4,18.32,,,
2021-02-16,13.79,7.47,16.34,,,22.66,13.79,,,
2021-02-17,24.2,13.08,4.77,,,15.88,24.2,,,
2021-02-18,19.18,9.93,5.03,,,14.27,19.18,,,
2021-02-19,16.47,8.77,9.46,,,17.16,16.47,,,
2021-02-20,23.31,12.57,6.04,,,16.78,23.31,,,
2021-02-21,24.2,12.0,6.93,,,19.13,24.2,,,
2021-02-22,18.23,7.95,8.83,,,19.11,18.23,,,
2021-02-23,22.41,12.68,8.73,,,18.46,22.41,,,
2021-02-24,24.2,12.31,7.55,,,19.44,24.2,,,
2021-02-25,16.49,8.27,9.23,,,17.45,16.49,,,
2021-02-26,24.2,13.06,6.81,,,17.95,24.2,,,
2021-02-27,22.54,9.5,5.59,,,18.63,22.54,,,
2021-02-28,22.85,10.93,5.11,,,17.03,22.85,,,
2021-03-01,25.08,12.81,9.72,,,21.99,25.08,,,
2021-03-02,24.71,11.03,6.86,,,20.54,24.71,,,
2021-03-03,21.75,12.53,14.95,,,24.17,21.75,,,
2021-03-04,23.88,12.17,13.71,,,25.43,23.88,,,
2021-03-05,14.78,6.81,14.58,,,22.55,14.78,,,
2021-03-06,25.85,14.5,13.71,,,25.06,25.85,,,
2021-03-07,25.85,13.6,13.36,,,25.62,25.85,,,
2021-03-08,25.85,11.79,6.03,,,20.09,25.85,,,
2021-03-09,24.29,12.4,11.13,,,23.02,24.29,,,
2021-03-10,22.79,12.66,11.56,,,21.69,22.79,,,
2021-03-11,22.95,11.38,8.45,,,20.01,22.95,,,
2021-03-12,25.85,11.82,6.01,,,20.04,25.85,,,
2021-03-13,23.67,11.47,8.35,,,20.55,23.67,,,
2021-03-14,15.16,6.31,12.83,,,21.69,15.16,,,
2021-03-15,20.87,11.13,15.61,,,25.35,20.87,,,
2021-03-16,25.85,15.13,7.35,,,18.07,25.85,,,
2021-03-17,25.85,14.63,9.92,,,21.13,25.85,,,
2021-03-18,24.37,11.24,9.49,,,22.61,24.37,,,
2021-03-19,24.63,11.81,5.49,,,18.31,24.63,,,
2021-03-20,23.64,10.98,8.69,,,21.35,23.64,,,
2021-03-21,21.72,9.1,7.85,,,20.47,21.72,,,
2021-03-22,25.85,13.66,9.79,,,21.98,25.85,,,
2021-03-23,21.2,10.72,10.95,,,21.43,21.2,,,
2021-03-24,25.85,12.72,8.81,,,21.94,25.85,,,
2021-03-25,18.94,9.74,15.41,,,24.62,18.94,,,
2021-03-26,25.85,12.87,11.57,,,24.55,25.85,,,
2021-03-27,25.85,13.17,8.84,,,21.53,25.85,,,
2021-03-28,15.94,6.49,15.88,,,25.33,15.94,,,
2021-03-29,23.44,10.09,10.02,,,23.37,23.44,,,
2021-03-30,19.29,7.97,10.42,,,21.74,19.29,,,
2021-03-31,19.19,9.16,13.32,,,23.35,19.19,,,
2021-04-01,19.69,10.89,14.39,,,23.19,19.69,,,
2021-04-02,23.72,12.62,17.18,,,28.29,23.72,,,
2021-04-03,21.79,11.22,13.25,,,23.81,21.79,,,
2021-04-04,25.3,13.31,15.27,,,27.27,25.3,,,
2021-04-05,19.31,10.67,18.16,,,26.81,19.31,,,
2021-04-06,18.3,9.7,15.43,,,24.02,18.3,,,
2021-04-07,24.8,10.24,8.16,,,22.72,24.8,,,
2021-04-08,18.09,8.19,16.83,,,26.73,18.09,,,
2021-04-09,13.63,6.71,13.63,,,20.55,13.63,,,
2021-04-10,21.99,11.41,11.77,,,22.36,21.99,,,
2021-04-11,20.21,12.08,13.35,,,21.48,20.21,,,
2021-04-12,16.44,8.5,19.81,,,27.74,16.44,,,
2021-04-13,14.84,8.75,18.07,,,24.16,14.84,,,
2021-04-14,25.3,11.91,13.09,,,26.48,25.3,,,
2021-04-15,21.81,11.32,9.82,,,20.32,21.81,,,
2021-04-16,22.39,9.81,15.94,,,28.52,22.39,,,
2021-04-17,23.22,10.72,8.79,,,21.29,23.22,,,
2021-04-18,21.19,12.6,12.62,,,21.21,21.19,,,
2021-04-19,25.3,14.39,13.82,,,24.73,25.3,,,
2021-04-20,24.09,13.12,14.5,,,25.47,24.09,,,
2021-04-21,21.03,9.94,14.64,,,25.72,21.03,,,
2021-04-22,21.63,11.72,15.35,,,25.25,21.63,,,
2021-04-23,17.64,9.61,16.14,,,24.16,17.64,,,
2021-04-24,25.3,14.66,18.7,,,29.34,25.3,,,
2021-04-25,25.13,11.83,9.16,,,22.46,25.13,,,
2021-04-26,14.9,6.97,17.52,,,25.45,14.9,,,
2021-04-27,22.67,11.06,12.25,,,23.87,22.67,,,
2021-04-28,25.3,11.43,13.2,,,27.07,25.3,,,
2021-04-29,19.43,10.81,14.62,,,23.24,19.43,,,
2021-04-30,21.02,8.64,11.28,,,23.65,21.02,,,
2021-05-01,17.38,10.13,14.68,,,21.93,17.38,,,
2021-05-02,22.55,11.78,13.5,,,24.27,22.55,,,
2021-05-03,13.19,5.35,12.25,,,20.08,13.19,,,
2021-05-04,19.02,9.69,16.38,,,25.71,19.02,,,
2021-05-05,15.1,7.05,14.96,,,23.01,15.1,,,
2021-05-06,15.51,7.96,16.04,,,23.58,15.51,,,
2021-05-07,22.55,12.67,10.3,,,20.18,22.55,,,
2021-05-08,18.43,8.46,10.54,,,20.5,18.43,,,
2021-05-09,15.2,6.27,15.31,,,24.24,15.2,,,
2021-05-10,19.39,10.36,11.95,,,20.98,19.39,,,
2021-05-11,17.12,8.11,14.22,,,23.24,17.12,,,
2021-05-12,19.98,10.3,9.13,,,18.81,19.98,,,
2021-05-13,18.54,7.56,10.53,,,21.51,18.54,,,
2021-05-14,19.4,8.04,12.75,,,24.11,19.4,,,
2021-05-15,12.57,7.01,17.26,,,22.82,12.57,,,
2021-05-16,19.96,10.74,14.52,,,23.75,19.96,,,
2021-05-17,22.08,12.76,12.44,,,21.77,22.08,,,
2021-05-18,22.55,11.36,14.05,,,25.24,22.55,,,
2021-05-19,18.67,8.61,10.95,,,21.02,18.67,,,
2021-05-20,22.55,13.15,13.29,,,22.68,22.55,,,
2021-05-21,19.61,8.63,9.7,,,20.68,19.61,,,
2021-05-22,22.55,11.84,11.1,,,21.8,22.55,,,
2021-05-23,18.64,9.97,10.6,,,19.27,18.64,,,
2021-05-24,19.51,10.08,12.26,,,21.69,19.51,,,
2021-05-25,21.38,10.02,11.18,,,22.54,21.38,,,
2021-05-26,17.66,8.49,14.85,,,24.02,17.66,,,
2021-05-27,15.8,6.63,14.7,,,23.87,15.8,,,
2021-05-28,22.55,10.57,12.09,,,24.07,22.55,,,
2021-05-29,22.13,10.77,12.49,,,23.85,22.13,,,
2021-05-30,16.5,6.84,13.18,,,22.85,16.5,,,
2021-05-31,13.96,5.77,12.2,,,20.39,13.96,,,
2021-06-01,14.87,7.53,7.47,,,14.81,14.87,,,
2021-06-02,18.91,9.99,10.17,,,19.09,18.91,,,
2021-06-03,20.12,11.61,11.62,,,20.13,20.12,,,
2021-06-04,15.17,6.27,15.61,,,24.5,15.17,,,
2021-06-05,18.29,8.08,8.41,,,18.62,18.29,,,
2021-06-06,20.35,10.97,8.28,,,17.65,20.35,,,
2021-06-07,20.35,9.71,4.56,,,15.2,20.35,,,
2021-06-08,20.35,11.8,10.83,,,19.37,20.35,,,
2021-06-09,9.79,4.83,15.85,,,20.81,9.79,,,
2021-06-10,17.92,8.62,11.88,,,21.18,17.92,,,
2021-06-11,13.56,5.72,12.71,,,20.55,13.56,,,
2021-06-12,19.91,10.03,6.51,,,16.39,19.91,,,
2021-06-13,20.35,9.87,8.65,,,19.13,20.35,,,
2021-06-14,14.76,6.03,9.92,,,18.64,14.76,,,
2021-06-15,15.96,7.77,12.81,,,21.01,15.96,,,
2021-06-16,13.05,6.65,14.78,,,21.18,13.05,,,
2021-06-17,17.2,7.77,8.49,,,17.92,17.2,,,
2021-06-18,19.89,8.97,6.46,,,17.38,19.89,,,
2021-06-19,19.78,10.59,9.78,,,18.97,19.78,,,
2021-06-20,20.35,12.11,11.5,,,19.74,20.35,,,
2021-06-21,17.91,7.48,11.78,,,22.21,17.91,,,
2021-06-22,16.69,9.36,13.02,,,20.35,16.69,,,
2021-06-23,20.35,8.98,10.06,,,21.43,20.35,,,
2021-06-24,13.24,5.86,11.69,,,19.07,13.24,,,
2021-06-25,18.95,8.69,9.24,,,19.5,18.95,,,
2021-06-26,20.35,11.15,15.75,,,24.95,20.35,,,
2021-06-27,17.84,10.04,14.41,,,22.21,17.84,,,
2021-06-28,15.45,9.17,14.24,,,20.52,15.45,,,
2021-06-29,20.35,8.85,5.96,,,17.46,20.35,,,
2021-06-30,16.67,8.76,6.49,,,14.4,16.67,,,
2021-07-01,13.13,7.78,13.02,,,18.36,13.13,,,
2021-07-02,16.13,6.53,9.38,,,18.98,16.13,,,
2021-07-03,13.13,7.72,11.0,,,16.41,13.13,,,
2021-07-04,16.27,6.92,15.35,,,24.7,16.27,,,
2021-07-05,18.77,8.33,9.87,,,20.31,18.77,,,
2021-07-06,19.13,9.61,6.82,,,16.34,19.13,,,
2021-07-07,17.3,9.45,10.49,,,18.34,17.3,,,
2021-07-08,17.17,10.07,17.78,,,24.88,17.17,,,
2021-07-09,14.71,6.58,10.23,,,18.36,14.71,,,
2021-07-10,18.32,7.86,10.87,,,21.34,18.32,,,
2021-07-11,18.72,10.54,11.63,,,19.8,18.72,,,
2021-07-12,16.02,8.24,8.9,,,16.69,16.02,,,
2021-07-13,19.8,10.55,9.9,,,19.14,19.8,,,
2021-07-14,17.44,9.93,9.69,,,17.19,17.44,,,
2021-07-15,17.77,8.27,9.45,,,18.95,17.77,,,
2021-07-16,19.8,10.11,10.68,,,20.37,19.8,,,
2021-07-17,19.8,9.11,7.64,,,18.33,19.8,,,
2021-07-18,19.8,9.69,10.86,,,20.97,19.8,,,
2021-07-19,16.1,7.54,6.61,,,15.17,16.1,,,
2021-07-20,18.13,8.01,10.4,,,20.51,18.13,,,
2021-07-21,14.71,7.24,9.19,,,16.67,14.71,,,
2021-07-22,14.0,6.18,11.57,,,19.38,14.0,,,
2021-07-23,18.32,9.03,12.85,,,22.15,18.32,,,
2021-07-24,19.03,10.3,9.94,,,18.67,19.03,,,
2021-07-25,19.8,7.96,7.13,,,18.97,19.8,,,
2021-07-26,17.21,9.23,15.45,,,23.43,17.21,,,
2021-07-27,15.61,6.42,10.02,,,19.2,15.61,,,
2021-07-28,19.8,9.88,4.25,,,14.18,19.8,,,
2021-07-29,17.23,8.3,5.86,,,14.8,17.23,,,
2021-07-30,19.8,9.1,10.68,,,21.38,19.8,,,
2021-07-31,14.69,8.4,11.38,,,17.68,14.69,,,
2021-08-01,13.57,6.03,7.92,,,15.46,13.57,,,
2021-08-02,14.9,7.05,11.27,,,19.12,14.9,,,
2021-08-03,18.79,9.74,11.31,,,20.37,18.79,,,
2021-08-04,19.25,11.12,7.35,,,15.47,19.25,,,
2021-08-05,13.19,6.0,6.18,,,13.37,13.19,,,
2021-08-06,19.25,10.46,8.0,,,16.79,19.25,,,
2021-08-07,13.2,7.25,10.31,,,16.26,13.2,,,
2021-08-08,16.12,7.17,10.78,,,19.73,16.12,,,
2021-08-09,19.25,8.67,8.98,,,19.56,19.25,,,
2021-08-10,19.23,9.08,8.38,,,18.53,19.23,,,
2021-08-11,17.68,8.37,9.33,,,18.64,17.68,,,
2021-08-12,17.33,7.55,9.24,,,19.01,17.33,,,
2021-08-13,16.2,7.6,14.86,,,23.46,16.2,,,
2021-08-14,19.25,8.6,4.76,,,15.41,19.25,,,
2021-08-15,16.4,8.12,9.84,,,18.12,16.4,,,
2021-08-16,18.73,8.44,7.17,,,17.46,18.73,,,
2021-08-17,19.25,10.05,11.82,,,21.02,19.25,,,
2021-08-18,19.25,10.01,10.69,,,19.93,19.25,,,
2021-08-19,18.74,11.12,11.41,,,19.02,18.74,,,
2021-08-20,15.96,8.62,13.98,,,21.32,15.96,,,
2021-08-21,13.9,7.7,13.44,,,19.64,13.9,,,
2021-08-22,19.25,8.82,11.57,,,21.99,19.25,,,
2021-08-23,17.25,7.4,9.13,,,18.98,17.25,,,
2021-08-24,17.19,10.27,14.99,,,21.9,17.19,,,
2021-08-25,19.25,11.11,11.4,,,19.54,19.25,,,
2021-08-26,10.32,4.36,13.13,,,19.09,10.32,,,
2021-08-27,10.19,5.86,16.25,,,20.57,10.19,,,
2021-08-28,19.25,8.36,11.11,,,22.0,19.25,,,
2021-08-29,15.29,9.0,17.68,,,23.97,15.29,,,
2021-08-30,14.48,8.43,12.17,,,18.22,14.48,,,
2021-08-31,19.25,11.53,17.5,,,25.22,19.25,,,
2021-09-01,18.02,9.85,11.46,,,19.63,18.02,,,
2021-09-02,19.09,10.2,10.85,,,19.75,19.09,,,
2021-09-03,19.25,10.04,9.34,,,18.56,19.25,,,
2021-09-04,17.96,8.61,13.23,,,22.58,17.96,,,
2021-09-05,14.47,6.67,11.81,,,19.61,14.47,,,
2021-09-06,14.91,7.21,7.75,,,15.45,14.91,,,
2021-09-07,14.18,7.67,12.0,,,18.51,14.18,,,
2021-09-08,17.32,7.56,8.7,,,18.46,17.32,,,
2021-09-09,19.25,8.39,10.55,,,21.41,19.25,,,
2021-09-10,13.46,6.46,13.84,,,20.83,13.46,,,
2021-09-11,16.74,6.92,6.3,,,16.12,16.74,,,
2021-09-12,16.3,9.29,12.73,,,19.74,16.3,,,
2021-09-13,13.89,6.97,11.83,,,18.75,13.89,,,
2021-09-14,18.99,8.37,6.73,,,17.36,18.99,,,
2021-09-15,15.98,9.26,12.94,,,19.66,15.98,,,
2021-09-16,15.95,9.33,15.23,,,21.85,15.95,,,
2021-09-17,15.91,8.05,14.13,,,21.99,15.91,,,
2021-09-18,19.25,9.06,12.03,,,22.22,19.25,,,
2021-09-19,13.27,6.3,15.2,,,22.18,13.27,,,
2021-09-20,19.25,8.23,8.84,,,19.86,19.25,,,
2021-09-21,14.38,8.19,13.78,,,19.97,14.38,,,
2021-09-22,19.25,7.83,5.95,,,17.37,19.25,,,
2021-09-23,18.12,9.52,10.63,,,19.23,18.12,,,
2021-09-24,19.25,9.98,6.46,,,15.72,19.25,,,
2021-09-25,15.11,8.63,13.44,,,19.92,15.11,,,
2021-09-26,19.25,10.69,10.87,,,19.43,19.25,,,
2021-09-27,12.47,5.85,13.03,,,19.65,12.47,,,
2021-09-28,13.92,7.98,11.8,,,17.75,13.92,,,
2021-09-29,14.12,6.93,11.84,,,19.02,14.12,,,
2021-09-30,16.25,8.14,11.19,,,19.3,16.25,,,
2021-10-01,16.94,7.84,9.45,,,18.56,16.94,,,
2021-10-02,17.5,7.45,10.55,,,20.59,17.5,,,
2021-10-03,19.7,8.35,6.0,,,17.35,19.7,,,
2021-10-04,16.55,7.68,6.8,,,15.66,16.55,,,
2021-10-05,14.7,7.39,10.92,,,18.23,14.7,,,
2021-10-06,19.08,9.07,6.98,,,16.99,19.08,,,
2021-10-07,17.11,9.11,13.05,,,21.05,17.11,,,
2021-10-08,18.35,8.86,4.07,,,13.56,18.35,,,
2021-10-09,10.18,4.87,11.61,,,16.91,10.18,,,
2021-10-10,12.97,5.39,10.13,,,17.72,12.97,,,
2021-10-11,20.35,11.34,6.54,,,15.56,20.35,,,
2021-10-12,14.93,7.63,13.8,,,21.1,14.93,,,
2021-10-13,19.39,9.75,8.46,,,18.1,19.39,,,
2021-10-14,18.51,9.58,8.3,,,17.23,18.51,,,
2021-10-15,17.25,8.9,11.59,,,19.94,17.25,,,
2021-10-16,18.71,8.22,5.98,,,16.47,18.71,,,
2021-10-17,19.38,9.38,4.82,,,14.83,19.38,,,
2021-10-18,13.84,7.25,8.67,,,15.27,13.84,,,
2021-10-19,18.04,7.5,4.87,,,15.42,18.04,,,
2021-10-20,16.35,7.88,11.34,,,19.81,16.35,,,
2021-10-21,14.95,8.54,11.56,,,17.97,14.95,,,
2021-10-22,17.25,8.92,7.21,,,15.53,17.25,,,
2021-10-23,15.45,7.03,12.42,,,20.84,15.45,,,
2021-10-24,16.86,7.53,4.72,,,14.06,16.86,,,
2021-10-25,20.35,11.38,6.75,,,15.72,20.35,,,
2021-10-26,20.35,11.2,8.6,,,17.75,20.35,,,
2021-10-27,14.79,6.69,11.32,,,19.43,14.79,,,
2021-10-28,16.57,8.53,9.75,,,17.78,16.57,,,
2021-10-29,18.1,8.81,14.65,,,23.94,18.1,,,
2021-10-30,15.48,7.09,11.54,,,19.93,15.48,,,
2021-10-31,12.2,6.98,12.59,,,17.8,12.2,,,
2021-11-01,17.79,8.97,7.34,,,16.16,17.79,,,
2021-11-02,18.97,8.76,7.03,,,17.24,18.97,,,
2021-11-03,18.42,9.32,8.49,,,17.58,18.42,,,
2021-11-04,17.98,8.63,13.01,,,22.37,17.98,,,
2021-11-05,11.73,6.83,9.97,,,14.87,11.73,,,
2021-11-06,17.38,7.8,9.48,,,19.06,17.38,,,
2021-11-07,21.45,11.53,4.25,,,14.18,21.45,,,
2021-11-08,21.45,12.43,3.87,,,12.89,21.45,,,
2021-11-09,20.22,11.22,5.27,,,14.27,20.22,,,
2021-11-10,18.08,8.35,9.12,,,18.86,18.08,,,
2021-11-11,18.19,10.89,11.48,,,18.78,18.19,,,
2021-11-12,17.01,9.92,13.25,,,20.35,17.01,,,
2021-11-13,16.66,8.76,7.57,,,15.46,16.66,,,
2021-11-14,16.52,9.89,10.08,,,16.71,16.52,,,
2021-11-15,21.45,10.78,6.97,,,17.64,21.45,,,
2021-11-16,21.45,12.3,8.23,,,17.38,21.45,,,
2021-11-17,20.51,10.34,4.36,,,14.53,20.51,,,
2021-11-18,14.09,6.55,5.62,,,13.17,14.09,,,
2021-11-19,18.54,8.14,5.8,,,16.2,18.54,,,
2021-11-20,13.31,6.88,9.19,,,15.62,13.31,,,
2021-11-21,21.45,9.9,4.95,,,16.5,21.45,,,
2021-11-22,15.92,7.19,10.16,,,18.89,15.92,,,
2021-11-23,21.45,10.66,6.99,,,17.77,21.45,,,
2021-11-24,14.76,8.58,8.87,,,15.05,14.76,,,
2021-11-25,16.28,7.81,10.55,,,19.02,16.28,,,
2021-11-26,15.92,7.81,10.17,,,18.28,15.92,,,
